@relation 'narrative-weka.filters.unsupervised.attribute.Remove-R1,7,9-12,18,20,22,25,27-29-weka.filters.unsupervised.attribute.Remove-R5,8'

@attribute 'Func. Position' numeric
@attribute 'Ratio Hero' numeric
@attribute 'Ratio Villain' numeric
@attribute 'Ratio Tester' numeric
@attribute 'Ratio Other' numeric
@attribute Motion numeric
@attribute Possession numeric
@attribute Self_motion numeric
@attribute Becoming_aware numeric
@attribute Ingestion numeric
@attribute Giving numeric
@attribute Communication numeric
@attribute Manipulation numeric
@attribute Forming_relationships numeric
@attribute 'Function Group Label' {alpha,beta,gamma,delta,epsilon,zeta,eta,theta,A,a,B,C,depart,D,E,F,G,H,J,I,K,return,Pr,Rs,o,L,M,N,Q,Ex,T,U,W}

@data
0.470321,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0,0,T
0.499268,0,0.5,0,0,1,0,0,0,0,0,0,0,0,A
0.582402,1,0,0,0,1,0,0,0,0,0,0,0,0,C
0.590553,1,0,0,0,0,0,0,0,0,0,0,0,0,depart
0.658481,0,0,0,0,0,0,0,0,0,0,0,0,0,F
0.738217,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,H
0.738217,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,I
0.881492,0,1,0,0,0,0,0,0,0,0,0,0,0,K
0.918382,0.5,0,0,0,0,0,0,0,0,0,0,0,1,W
0.070548,0,0,0,1,0,1,1,1,0,0,0,0,0,alpha
0.097687,0,0,0,1,0,0,0,0,0,0,0,0,0,A
0.140206,0,0,0,1,0,1,0,1,0,1,1,0,0,B
0.154125,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0,0,C
0.16798,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0,0,depart
0.593428,0.375,0,0,0.625,0,0,0,0,0,0,0,0,0,H
0.603152,0.428571,0,0,0.571429,0,0,0,0,0,0,0,0,0,I
0.869772,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,K
0.870027,0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,return
0.881912,0.25,0,0,0.75,0,1,0,0,0,0,1,0,0,W
0.051492,0.333333,0,0.666667,0,0,1,0,1,0,0,0,0,0,alpha
0.077269,1,0,0,0,0,0,0,0,0,0,0,0,0,gamma
0.099176,1,0,0,0,1,0,0,0,0,0,0,0,0,beta
0.270565,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,zeta
0.357633,0.363636,0.454545,0.181818,0,1,1,0,0,0,0,0,0,0,eta
0.387592,1,0,0,0,0,0,0,0,0,0,0,0,0,theta
0.391399,0.5,0.5,0,0,0,0,0,0,0,0,0,1,0,A
0.393334,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0,0,depart
0.424354,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,D
0.463051,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0,0,E
0.474847,1,0,0,0,0,0,0,0,0,0,0,0,0,return
0.651417,0.25,0.75,0,0,0,0,1,0,0,0,0,0,0,Pr
0.684933,1,0,0,0,0,0,1,0,0,0,0,0,0,Rs
0.731744,0,1,0,0,1,0,0,0,0,0,0,0,0,Pr
0.871364,0.666667,0,0.333333,0,0,0,0,0,0,0,0,0,0,Rs
0.268063,0.112069,0,0.698276,0.189655,1,1,1,1,0,0,1,0,0,alpha
0.510872,0,0,0,0.5,0,0,0,0,0,0,0,0,1,a
0.55957,0.117647,0,0.705882,0.117647,0,0,0,0,0,0,0,0,0,B
0.584258,0.142857,0,0.857143,0,0,0,0,0,0,0,0,0,0,F
0.584258,0.142857,0,0.857143,0,0,0,0,0,0,0,0,0,0,C
0.591846,0.142857,0,0.857143,0,0,0,1,0,0,0,0,0,0,depart
0.624689,0.333333,0,0.333333,0,1,0,0,0,0,0,1,0,0,G
0.706795,0.103448,0,0.517241,0,1,0,1,0,0,0,0,1,0,K
0.775198,0,0,0,0,0,0,0,0,0,0,0,0,0,return
0.072267,0.4,0,0,0.6,0,1,0,0,0,0,0,0,0,alpha
0.103678,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0.113981,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,C
0.241271,1,0,0,0,0,0,0,1,0,0,0,0,0,F
0.434888,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,H
0.478535,0.375,0.375,0,0.25,0,0,0,0,0,0,0,0,0,I
0.55488,0,0,0,0,0,0,0,0,0,0,0,0,0,K
0.566471,0,0,0,0,0,0,0,0,0,0,0,0,0,return
0.714511,0.333333,0,0,0.666667,0,0,0,0,0,0,0,0,0,Pr
0.741199,0.666667,0,0,0.333333,0,0,0,0,0,0,0,1,0,Rs
0.825773,0.2,0.4,0,0.4,1,0,0,0,0,0,0,0,0,Pr
0.889954,1,0,0,0,0,0,0,0,0,0,0,0,0,Rs
0.044785,0,1,0,0,0,0,0,0,1,0,0,0,0,A
0.110889,0.166667,0.5,0,0.333333,1,0,0,0,1,0,0,0,0,B
0.137287,0.4,0.4,0,0.2,0,0,0,0,0,0,0,0,0,C
0.147804,0,0,0,0,0,0,0,0,0,0,0,0,0,depart
0.275647,0.375,0.625,0,0,0,0,0,0,0,0,0,0,0,H
0.427314,0.666667,0.333333,0,0,0,1,0,0,0,0,0,0,0,I
0.921448,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,return
0.984189,0,1,0,0,0,0,1,0,0,0,0,0,0,I
0.98791,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,K
0.994134,1,0,0,0,0,0,0,0,0,0,0,0,0,W
0.04093,0.666667,0,0,0.333333,0,1,0,0,0,0,0,0,0,alpha
0.094795,0,0,0,0,0,0,0,0,0,0,0,0,0,beta
0.100354,0,0,0,1,0,0,0,1,0,0,0,0,0,eta
0.202729,0,0,0,1,0,0,0,0,0,0,0,0,0,A
0.219505,0,0,1,0,0,0,0,0,0,0,0,0,0,D
