@RELATION narrative
@ATTRIBUTE "Is Actual" NUMERIC
@ATTRIBUTE "Func. Position" NUMERIC
@ATTRIBUTE "Ratio Hero" NUMERIC
@ATTRIBUTE "Ratio Villain" NUMERIC
@ATTRIBUTE "Ratio Tester" NUMERIC
@ATTRIBUTE "Ratio Prize" NUMERIC
@ATTRIBUTE "Ratio FalseHero" NUMERIC
@ATTRIBUTE "Ratio Other" NUMERIC
@ATTRIBUTE "Ratio NA" NUMERIC
@ATTRIBUTE "do" NUMERIC
@ATTRIBUTE "be" NUMERIC
@ATTRIBUTE "think" NUMERIC
@ATTRIBUTE "talk" NUMERIC
@ATTRIBUTE "answer" NUMERIC
@ATTRIBUTE "ask" NUMERIC
@ATTRIBUTE "punish" NUMERIC
@ATTRIBUTE "help" NUMERIC
@ATTRIBUTE "reward" NUMERIC
@ATTRIBUTE "move" NUMERIC
@ATTRIBUTE "Function Group Label" {alpha,beta,gamma,delta,epsilon,zeta,eta,theta,A,a,B,C,depart,D,E,F,G,H,J,I,K,return,Pr,Rs,o,L,M,N,Q,Ex,T,U,W}
@ATTRIBUTE "Function Label" STRING
@DATA
1.0,0.681146935762,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4,0.5,0.75,0.5,0.5,0.8,Pr,'Pr1'
1.0,0.822175732218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.75,0.4,D,'d7'
1.0,0.834728033473,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.444444444444,0.5,0.4,0.4,0.4,0.4,0.8,0.75,0.571428571429,E,'E7'
1.0,0.839281319222,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.666666666667,0.75,0.8,0.8,0.666666666667,0.5,1.0,0.727272727273,1.0,F,'F9'
1.0,0.965173517106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.4,0.4,0.4,0.333333333333,0.4,0.4,0.4,0.4,0.571428571429,Rs,'Rs4'
1.0,0.086475567526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.888888888889,0.8,0.4,0.6,0.5,0.666666666667,1.0,0.857142857143,alpha,'alpha'
1.0,0.115525202001,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.777777777778,0.75,1.0,0.8,0.857142857143,0.5,0.666666666667,0.857142857143,0.8,F,'F69'
0.0,0.118218545594,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.75,0.5,0.4,0.571428571429,0.5,0.5,0.666666666667,0.727272727273,a,'a1'
1.0,0.145632935745,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.888888888889,0.8,0.5,0.857142857143,0.5,0.75,1.0,1.0,C,'C'
1.0,0.358695652174,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.571428571429,0.5,0.5,0.5,0.5,1.0,depart,'up'
0.0,0.502597152751,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.666666666667,0.571428571429,0.5,0.571428571429,0.888888888889,1.0,T,'T4'
1.0,0.510100038476,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.75,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.8,G,'G3'
1.0,0.693632166218,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.4,0.571428571429,0.5,0.5,0.5,0.5,W,'W*'
1.0,0.731819930743,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,return,'down'
1.0,0.961331281262,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.0,0.666666666667,1.0,0.444444444444,0.857142857143,0.75,0.769230769231,1.0,0.75,I,'I5'
1.0,0.992400923432,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.4,0.888888888889,0.5,0.5,0.5,0.5,W,'Wsub*'
1.0,0.0991994430908,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.888888888889,1.0,0.8,0.888888888889,0.5,0.75,1.0,1.0,alpha,'alpha'
1.0,0.154803341455,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4,0.75,0.5,0.5,0.666666666667,0.5,D,'D6'
1.0,0.192742777584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.5,0.909090909091,0.666666666667,0.888888888889,0.5,0.75,1.0,0.75,E,'E6'
1.0,0.225983292725,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.909090909091,1.0,0.5,0.923076923077,0.4,0.769230769231,0.5,0.714285714286,0.75,0.8,F,'F1'
1.0,0.261834319527,0,0,0,0,0,0,0,0.666666666667,0.5,0.5,0.888888888889,0.727272727273,0.666666666667,0.615384615385,0.4,0.833333333333,0.666666666667,A,'A11'
1.0,0.394709363035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,A,'A1'
0.0,0.402801949182,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.588235294118,0.5,0.777777777778,1.0,0.75,0.5,0.6,0.5,0.8,C,'C'
1.0,0.440654368256,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.842105263158,1.0,0.5,1.0,0.8,0.857142857143,0.5,0.666666666667,0.857142857143,0.625,B,'B3'
1.0,0.482596588931,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.842105263158,0.5,0.823529411765,0.6,0.736842105263,0.75,0.666666666667,0.8,0.75,depart,'up'
1.0,0.624608423251,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.571428571429,0.5,0.75,0.4,0.666666666667,0.888888888889,0.833333333333,0.666666666667,0.666666666667,I,'I1'
0.0,0.624608423251,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.571428571429,0.5,0.75,0.4,0.666666666667,0.888888888889,0.833333333333,0.666666666667,0.666666666667,H,'H1'
1.0,0.89462234598,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.5,0.5,0.888888888889,0.4,0.8,0.5,0.5,0.666666666667,0.666666666667,H,'H1'
1.0,0.908893143056,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.714285714286,0.5,1.0,0.5,0.5,0.5,I,'I1'
1.0,0.953271841281,0,0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.333333333333,0.888888888889,0.4,0.4,0.4,0.4,K,'K8'
1.0,0.961190393317,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.545454545455,0.75,0.5,0.727272727273,0.4,0.545454545455,0.5,0.666666666667,0.8,1.0,K,'K4'
1.0,0.961190393317,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.545454545455,0.75,0.5,0.727272727273,0.4,0.545454545455,0.5,0.666666666667,0.8,1.0,return,'down'
1.0,0.978767838496,0,0,0,0,0,0,0,0.5,1.0,0.857142857143,0.833333333333,0.5,0.857142857143,0.5,0.923076923077,1.0,1.0,W,'W*'
1.0,0.0876854599407,0,0,0,0,0,0,0,1.0,1.0,0.5,0.777777777778,0.8,0.888888888889,0.5,0.8,0.8,0.857142857143,alpha,'alpha'
