Is Actual	Func. Position	Ratio Hero	Ratio Villain	Ratio Tester	Ratio Prize	Ratio FalseHero	Ratio Other	Ratio NA	do	be	think	talk	answer	ask	punish	help	reward	move	Function Group Label
1.0	0.115525202001	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.777777777778	0.75	1.0	0.8	0.857142857143	0.5	0.666666666667	0.857142857143	0.8	F
0.0	0.118218545594	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5	0.5	0.75	0.5	0.4	0.571428571429	0.5	0.5	0.666666666667	0.727272727273	a
1.0	0.145632935745	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	0.8	0.5	0.857142857143	0.5	0.75	1.0	1.0	C
1.0	0.358695652174	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.5	0.5	0.5	0.571428571429	0.5	0.5	0.5	0.5	1.0	depart
0.0	0.502597152751	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5	0.5	0.666666666667	0.571428571429	0.5	0.571428571429	0.888888888889	1.0	T
1.0	0.510100038476	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.75	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.8	G
1.0	0.693632166218	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.5	0.5	0.5	0.4	0.571428571429	0.5	0.5	0.5	0.5	W
1.0	0.731819930743	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.5	0.5	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	return
1.0	0.961331281262	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.8	1.0	0.666666666667	1.0	0.444444444444	0.857142857143	0.75	0.769230769231	1.0	0.75	I
1.0	0.992400923432	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	1.0	0.4	0.888888888889	0.5	0.5	0.5	0.5	W
1.0	0.0991994430908	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.888888888889	1.0	0.8	0.888888888889	0.5	0.75	1.0	1.0	alpha
1.0	0.154803341455	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.4	0.75	0.5	0.5	0.666666666667	0.5	D
1.0	0.192742777584	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1.0	0.5	0.909090909091	0.666666666667	0.888888888889	0.5	0.75	1.0	0.75	E
1.0	0.225983292725	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.909090909091	1.0	0.5	0.923076923077	0.4	0.769230769231	0.5	0.714285714286	0.75	0.8	F
1.0	0.261834319527	0	0	0	0	0	0	0	0.666666666667	0.5	0.5	0.888888888889	0.727272727273	0.666666666667	0.615384615385	0.4	0.833333333333	0.666666666667	A
1.0	0.394709363035	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.4	0.5	0.5	0.5	0.5	0.5	A
0.0	0.402801949182	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.588235294118	0.5	0.777777777778	1.0	0.75	0.5	0.6	0.5	0.8	C
1.0	0.440654368256	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.842105263158	1.0	0.5	1.0	0.8	0.857142857143	0.5	0.666666666667	0.857142857143	0.625	B
1.0	0.482596588931	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.842105263158	0.5	0.823529411765	0.6	0.736842105263	0.75	0.666666666667	0.8	0.75	depart
1.0	0.624608423251	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.8	0.571428571429	0.5	0.75	0.4	0.666666666667	0.888888888889	0.833333333333	0.666666666667	0.666666666667	I
0.0	0.624608423251	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.8	0.571428571429	0.5	0.75	0.4	0.666666666667	0.888888888889	0.833333333333	0.666666666667	0.666666666667	H
1.0	0.89462234598	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.5	0.5	0.888888888889	0.4	0.8	0.5	0.5	0.666666666667	0.666666666667	H
1.0	0.908893143056	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.714285714286	0.5	1.0	0.5	0.5	0.5	I
1.0	0.953271841281	0	0	0	0	0	0	0	0.4	0.4	0.4	0.4	0.333333333333	0.888888888889	0.4	0.4	0.4	0.4	K
1.0	0.961190393317	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.545454545455	0.75	0.5	0.727272727273	0.4	0.545454545455	0.5	0.666666666667	0.8	1.0	K
